INFO  0 [2021-02-26 14:10:17,175] [main] org.semanticweb.owlapi.utilities.Injector  - Loading file META-INF/services/org.semanticweb.owlapi.model.OWLOntologyManager
DEBUG 1220 [2021-02-26 14:10:18,395] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_22>)
DEBUG 1220 [2021-02-26 14:10:18,395] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_12>)
DEBUG 1220 [2021-02-26 14:10:18,395] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_23>)
DEBUG 1222 [2021-02-26 14:10:18,397] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ClassAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Situation-S12> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>))
DEBUG 1223 [2021-02-26 14:10:18,398] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ClassAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Situation> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>))
DEBUG 1230 [2021-02-26 14:10:18,405] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#hasCause> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Minor_Obstruction_in_the_Cooling_System>)
DEBUG 1230 [2021-02-26 14:10:18,405] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ClassAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Situation-S8> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>))
DEBUG 1231 [2021-02-26 14:10:18,406] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#hasCause> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#PollutedFilters>)
DEBUG 1231 [2021-02-26 14:10:18,406] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ClassAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Situation-S7> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>))
DEBUG 1231 [2021-02-26 14:10:18,406] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_12>)
DEBUG 1231 [2021-02-26 14:10:18,406] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_23>)
DEBUG 1231 [2021-02-26 14:10:18,406] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_21>)
DEBUG 1231 [2021-02-26 14:10:18,406] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ClassAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Situation-S11> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>))
DEBUG 1232 [2021-02-26 14:10:18,407] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_17>)
DEBUG 1232 [2021-02-26 14:10:18,407] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_6>)
DEBUG 1232 [2021-02-26 14:10:18,407] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_19>)
DEBUG 1232 [2021-02-26 14:10:18,407] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ClassAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Situation-S8> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>))
DEBUG 1232 [2021-02-26 14:10:18,407] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ClassAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#Situation> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>))
DEBUG 1233 [2021-02-26 14:10:18,408] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_3>)
DEBUG 1233 [2021-02-26 14:10:18,408] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_6>)
DEBUG 1233 [2021-02-26 14:10:18,408] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_4>)
DEBUG 1233 [2021-02-26 14:10:18,408] [main] org.semanticweb.owlapi.rdf.rdfxml.parser.OptimisedListTranslator  - list: ObjectPropertyAtom(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#associatedConstraint> Variable(<http://semanticweb.org/STEaMINg/ContextOntology-COInd4#sit>) <http://semanticweb.org/STEaMINg/ContextOntology-COInd4#C_1>)
